<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,5,20240419,153000,146.15,146.16,144.55,144.8,668420,0
JNJ.US,5,20240419,153500,144.8,145.43,144.59,145.42,33677,0
JNJ.US,5,20240419,154000,145.44,145.7,145.35,145.62,46247,0
JNJ.US,5,20240419,154500,145.66,146.04,145.64,145.9858,55268,0
JNJ.US,5,20240419,155000,145.975,146.2,145.9,146.18,24796,0
JNJ.US,5,20240419,155500,146.18,146.19,145.99,146.08,36358,0
JNJ.US,5,20240419,160000,146.09,146.2,145.71,145.845,33463,0
JNJ.US,5,20240419,160500,145.83,146.27,145.83,146.17,29936,0
JNJ.US,5,20240419,161000,146.17,146.33,146.14,146.3,31376,0
JNJ.US,5,20240419,161500,146.32,146.34,146.12,146.18,43028,0
JNJ.US,5,20240419,162000,146.185,146.36,146.13,146.315,57816,0
JNJ.US,5,20240419,162500,146.33,146.69,146.265,146.69,62092,0
JNJ.US,5,20240419,163000,146.68,146.68,146.42,146.435,28392,0
JNJ.US,5,20240419,163500,146.44,146.62,146.44,146.57,25361,0
JNJ.US,5,20240419,164000,146.56,146.72,146.47,146.6783,31873,0
JNJ.US,5,20240419,164500,146.69,146.76,146.33,146.33,49628,0
JNJ.US,5,20240419,165000,146.33,146.49,146.23,146.4156,64345,0
JNJ.US,5,20240419,165500,146.4444,146.51,146.36,146.375,27305,0
JNJ.US,5,20240419,170000,146.38,146.44,146.29,146.43,24805,0
JNJ.US,5,20240419,170500,146.43,146.49,146.4,146.452,21188,0
JNJ.US,5,20240419,171000,146.45,146.46,146.17,146.17,52963,0
JNJ.US,5,20240419,171500,146.17,146.445,146.17,146.445,50004,0
JNJ.US,5,20240419,172000,146.45,146.55,146.36,146.49,31102,0
JNJ.US,5,20240419,172500,146.5,146.6,146.45,146.53,38134,0
JNJ.US,5,20240419,173000,146.5,146.54,146.4,146.43,29770,0
JNJ.US,5,20240419,173500,146.42,146.695,146.42,146.64,56070,0
JNJ.US,5,20240419,174000,146.6599,146.74,146.61,146.63,28849,0
JNJ.US,5,20240419,174500,146.64,146.81,146.62,146.72,45476,0
JNJ.US,5,20240419,175000,146.74,146.8199,146.655,146.72,36638,0
JNJ.US,5,20240419,175500,146.725,146.81,146.68,146.72,30628,0
JNJ.US,5,20240419,180000,146.71,146.89,146.71,146.89,44385,0
JNJ.US,5,20240419,180500,146.88,146.92,146.78,146.84,25254,0
JNJ.US,5,20240419,181000,146.855,146.87,146.7,146.72,33759,0
JNJ.US,5,20240419,181500,146.7228,146.75,146.61,146.685,46456,0
JNJ.US,5,20240419,182000,146.69,146.76,146.66,146.74,41272,0
JNJ.US,5,20240419,182500,146.75,146.94,146.741,146.86,61335,0
JNJ.US,5,20240419,183000,146.875,146.91,146.71,146.79,29519,0
JNJ.US,5,20240419,183500,146.79,146.83,146.74,146.815,35528,0
JNJ.US,5,20240419,184000,146.82,146.9199,146.78,146.91,32443,0
JNJ.US,5,20240419,184500,146.9,146.95,146.78,146.81,44786,0
JNJ.US,5,20240419,185000,146.84,147.12,146.83,146.89,47824,0
JNJ.US,5,20240419,185500,146.9,147.075,146.89,147.01,50394,0
JNJ.US,5,20240419,190000,147.01,147.15,146.99,147.105,27299,0
JNJ.US,5,20240419,190500,147.11,147.2,147.09,147.2,34236,0
JNJ.US,5,20240419,191000,147.2,147.24,147.0584,147.1,39786,0
JNJ.US,5,20240419,191500,147.12,147.2,147.04,147.17,44542,0
JNJ.US,5,20240419,192000,147.18,147.21,147.05,147.09,22046,0
JNJ.US,5,20240419,192500,147.1,147.11,146.8,146.87,64809,0
JNJ.US,5,20240419,193000,146.865,146.99,146.865,146.93,24635,0
JNJ.US,5,20240419,193500,146.935,146.97,146.88,146.91,14799,0
JNJ.US,5,20240419,194000,146.92,146.97,146.8535,146.89,28264,0
JNJ.US,5,20240419,194500,146.87,147.13,146.86,147.08,38411,0
JNJ.US,5,20240419,195000,147.07,147.2,147.07,147.19,21365,0
JNJ.US,5,20240419,195500,147.2,147.22,147.06,147.1329,26055,0
JNJ.US,5,20240419,200000,147.125,147.125,146.94,147.01,30465,0
JNJ.US,5,20240419,200500,147.015,147.22,147.015,147.09,32165,0
JNJ.US,5,20240419,201000,147.08,147.14,147.03,147.09,17739,0
JNJ.US,5,20240419,201500,147.09,147.2,147.07,147.19,27764,0
JNJ.US,5,20240419,202000,147.19,147.35,147.15,147.35,69254,0
JNJ.US,5,20240419,202500,147.34,147.4097,147.28,147.3201,71035,0
JNJ.US,5,20240419,203000,147.34,147.48,147.31,147.46,105646,0
JNJ.US,5,20240419,203500,147.46,147.46,147.32,147.41,50513,0
